date,time,Thread,Level,Component,Content
03/10,03:11:05.860,Thread 43,INFO ,d735165e-c414-4990-b1be-f47ccefde792,process_request : Connection from IP 
03/10,03:11:05.929,Thread 43,INFO ,d735165e-c414-4990-b1be-f47ccefde792,ns1__srmReleaseFiles : Request: Release files. IP: 2001:1458:201:e3::100:1c. Client DN: /DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management. surl(s): srm://storm-fe.cr.cnaf.infn.it/atlas/atlasdatadisk/rucio/mc15_13TeV/4f/eb/EVNT.20604347._003747.pool.root.1. token: 82e3570f-043f-441f-814a-9894a35815f4 
03/10,03:11:05.938,Thread 43,INFO ,d735165e-c414-4990-b1be-f47ccefde792,Result for request 'Release files' is 'SRM_SUCCESS' 
03/10,03:11:07.425,Thread 30,INFO ,ce9dacb5-4059-444a-8787-35bdacfe834e,process_request : Connection from IP 
03/10,03:11:07.480,Thread 30,INFO ,ce9dacb5-4059-444a-8787-35bdacfe834e,Request 'BOL status' from Client IP='2001:1458:201:e4::100:245' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token '218de598-4c9e-4460-ae08-17c1c3a2fdcd' on '3' SURL(s): 'srm://storm-fe.cr.cnaf.infn.it/atlas/atlasmctape/mc16_13TeV/AOD/e7142_e5984_s3126_r10201_r10210/mc16_13TeV.364701.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW.merge.AOD.e7142_e5984_s3126_r10201_r10210_tid16710021_00/AOD.16710021._000363.pool.root.1 srm://storm-fe.cr.cnaf.infn.it/atlas/atlasmctape/mc16_13TeV/AOD/e7142_e5984_s3126_r10201_r10210/mc16_13TeV.364701.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW.merge.AOD.e7142_e5984_s3126_r10201_r10210_tid16710021_00/AOD.16710021._000531.pool.root.1 srm://storm-fe.cr.cnaf.infn.it/atlas/atlasmctape/mc16_13TeV/AOD/e7142_e5984_s3126_r10201_r10210/mc16_13TeV.364701.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW.merge.AOD.e7142_e5984_s3126_r10201_r TRUNCATED 
03/10,03:11:07.489,Thread 30,INFO ,ce9dacb5-4059-444a-8787-35bdacfe834e,Result for request 'BOL status' is 'SRM_REQUEST_INPROGRESS' 
03/10,03:11:08.433,Thread 23,INFO ,a501a4bd-ea3d-4537-824e-b6afadcb6d04,process_request : Connection from IP 
03/10,03:11:08.503,Thread 23,INFO ,a501a4bd-ea3d-4537-824e-b6afadcb6d04,Request 'BOL status' from Client IP='2001:1458:201:e4::100:245' Client DN='/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=ddmadmin/CN=531497/CN=Robot: ATLAS Data Management' # Requested token '0282037f-2152-4e1a-917b-4cea139c9455' on '1' SURL(s): 'srm://storm-fe.cr.cnaf.infn.it/atlas/atlasmctape/mc16_13TeV/AOD/e7142_e5984_s3126_r10201_r10210/mc16_13TeV.364701.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW.merge.AOD.e7142_e5984_s3126_r10201_r10210_tid16710021_00/AOD.16710021._000213.pool.root.1' 
03/10,03:11:08.507,Thread 23,INFO ,a501a4bd-ea3d-4537-824e-b6afadcb6d04,Result for request 'BOL status' is 'SRM_REQUEST_INPROGRESS' 
03/10,03:11:11.954,Thread 16,INFO ,774ac792-c5ff-4f0b-a6aa-a67d39cf386f,process_request : Connection from IP 
